sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/wealth-accumulation/savings/prulifetime-income-plus,/en/products/wealth-accumulation/savings/prulifetime-income-plus,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/prusave-max-limited-pay-usd,/en/products/wealth-accumulation/savings/prusave-max-limited-pay-usd,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruwealth-income,/en/products/wealth-accumulation/savings/pruwealth-income,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruwealth-plus-sgd,/en/products/wealth-accumulation/savings/pruwealth-plus-sgd,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruwealth-plus-sgd-xsell,/en/products/wealth-accumulation/savings/pruwealth-plus-sgd-xsell,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruwealth-plus-sgd-xsell-scb,/en/products/wealth-accumulation/savings/pruwealth-plus-sgd-xsell-scb,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruwealth-usd,/en/products/wealth-accumulation/savings/pruwealth-usd,Product Details Page,normal,product-details-page
/products/health-insurance/accident/prupersonal-accident,/en/products/health-insurance/accident/prupersonal-accident,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/pruactive-crisis-guard,/en/products/health-insurance/critical-illness/pruactive-crisis-guard,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/pruactive-protect,/en/products/health-insurance/critical-illness/pruactive-protect,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/prucancer-360,/en/products/health-insurance/critical-illness/prucancer-360,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/pruearly-stage-crisis-cover,/en/products/health-insurance/critical-illness/pruearly-stage-crisis-cover,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/prulady,/en/products/health-insurance/critical-illness/prulady,Product Details Page,normal,product-details-page
/products/health-insurance/critical-illness/pruman,/en/products/health-insurance/critical-illness/pruman,Product Details Page,normal,product-details-page
/products/health-insurance/enterprise/prubusinesscontinuity,/en/products/health-insurance/enterprise/prubusinesscontinuity,Product Details Page,normal,product-details-page
/products/health-insurance/medical/care-secure,/en/products/health-insurance/medical/care-secure,Product Details Page,normal,product-details-page
/products/health-insurance/medical/pruextra,/en/products/health-insurance/medical/pruextra,Product Details Page,normal,product-details-page
/products/health-insurance/medical/pruextra-preferred-copay,/en/products/health-insurance/medical/pruextra-preferred-copay,Product Details Page,normal,product-details-page
/products/health-insurance/medical/PRUHospital-Care360,/en/products/health-insurance/medical/PRUHospital-Care360,Product Details Page,normal,product-details-page
/products/health-insurance/medical/prushield,/en/products/health-insurance/medical/prushield,Product Details Page,normal,product-details-page
/products/life-insurance/maternity-insurance/pfg2,/en/products/life-insurance/maternity-insurance/pfg2,Product Details Page,normal,product-details-page
/products/life-insurance/maternity-insurance/prufirst-promise,/en/products/life-insurance/maternity-insurance/prufirst-promise,Product Details Page,normal,product-details-page
/products/life-insurance/maternity-insurance/prumum,/en/products/life-insurance/maternity-insurance/prumum,Product Details Page,normal,product-details-page
/products/life-insurance/mortgage-insurance/prumortgage,/en/products/life-insurance/mortgage-insurance/prumortgage,Product Details Page,normal,product-details-page
/products/life-insurance/term-life-insurance/direct-pruprotect-term,/en/products/life-insurance/term-life-insurance/direct-pruprotect-term,Product Details Page,normal,product-details-page
/products/life-insurance/term-life-insurance/direct-pruprotect-term-5,/en/products/life-insurance/term-life-insurance/direct-pruprotect-term-5,Product Details Page,normal,product-details-page
/products/life-insurance/term-life-insurance/pruactive-term,/en/products/life-insurance/term-life-insurance/pruactive-term,Product Details Page,normal,product-details-page
/products/life-insurance/term-life-insurance/pruvital-cover,/en/products/life-insurance/term-life-insurance/pruvital-cover,Product Details Page,normal,product-details-page
/products/life-insurance/whole-life-insurance/direct-pruprotect-life-II,/en/products/life-insurance/whole-life-insurance/direct-pruprotect-life-II,Product Details Page,normal,product-details-page
/products/life-insurance/whole-life-insurance/pruactive-life-II,/en/products/life-insurance/whole-life-insurance/pruactive-life-II,Product Details Page,normal,product-details-page
/products/life-insurance/whole-life-insurance/pruactive-life-III,/en/products/life-insurance/whole-life-insurance/pruactive-life-III,Product Details Page,normal,product-details-page
/products/life-insurance/whole-life-insurance/pruactive-linkguard,/en/products/life-insurance/whole-life-insurance/pruactive-linkguard,Product Details Page,normal,product-details-page
/products/wealth-accumulation/savings/pruapex-multigen-wealth,/en/products/wealth-accumulation/savings/pruapex-multigen-wealth,Product Details Page,normal,product-details-page
/products/legacy-planning/pruapex-legacy-index,/en/products/legacy-planning/pruapex-legacy-index,Product Details Page,normal,product-details-page
