sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Pan European Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Pan European Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Singapore Select Bond Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Singapore Select Bond Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/First Sentier Global Property Securities Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/First Sentier Global Property Securities Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin India Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin India Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin India Fund A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin India Fund A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin Mutual Beacon Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin Mutual Beacon Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin Strategic Income A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin Strategic Income A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin US Opportunities Fund A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin US Opportunities Fund A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin US Opportunities Fund A Acc USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Franklin US Opportunities Fund A Acc USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Asian Debt Hard Currency,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Asian Debt Hard Currency,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Global Real Estate Equity,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Global Real Estate Equity,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Global Real Estate Equity USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Goldman Sachs Global Real Estate Equity USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Janus Henderson Horizon AsiaPacific Property Equities Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Janus Henderson Horizon AsiaPacific Property Equities Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Janus Henderson Horizon Global Technology Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Janus Henderson Horizon Global Technology Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Asia Pacific Income Fund A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Asia Pacific Income Fund A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Equity Fund A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Equity Fund A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Equity Fund A Acc USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Equity Fund A Acc USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Local Currency Debt Fund A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Local Currency Debt Fund A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Local Currency Debt Fund A Acc USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Emerging Markets Local Currency Debt Fund A Acc USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Global Natural Resources Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/JPMorgan Funds Global Natural Resources Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/PIMCO Total Return Bond Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/PIMCO Total Return Bond Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/PIMCO Total Return Bond Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/PIMCO Total Return Bond Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Emerging Markets Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Emerging Markets Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund China Opportunities,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund China Opportunities,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund China Opportunities USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund China Opportunities USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Emerging Markets,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Emerging Markets,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Emerging Markets Debt Absolute Return,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Emerging Markets Debt Absolute Return,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Dividend Maximiser,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Dividend Maximiser,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Dividend Maximiser USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Dividend Maximiser USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Gold,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Gold,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Gold USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Global Gold USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Greater China,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder International Selection Fund Greater China,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder ISF Asian Bond Absolute Return A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder ISF Asian Bond Absolute Return A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder ISF Asian Bond Absolute Return Hedged A Acc,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder ISF Asian Bond Absolute Return Hedged A Acc,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Singapore Trust,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Singapore Trust,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Singapore Trust USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Schroder Singapore Trust USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Asian Growth Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Asian Growth Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Asian Growth Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Asian Growth Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton China Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton China Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton China Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton China Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Global Bond Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Global Bond Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Global Total Return Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Global Total Return Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Latin America Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Latin America Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Latin America Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Templeton Latin America Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/United Global Resources Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/United Global Resources Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/United Gold and General Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/United Gold and General Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/prulink-asian-low-volatility-equity-fund-accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/prulink-asian-low-volatility-equity-fund-accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/prulink-india-opportunity-equity-fund-accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/prulink-india-opportunity-equity-fund-accumulation,Custom Page,custom,ilp-fund
