sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Equity Growth Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Equity Growth Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Fixed Income Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Fixed Income Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Fixed Income Fund USD Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Fixed Income Fund USD Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Growth Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Growth Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Impact ESG Equity Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Impact ESG Equity Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Income Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Income Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Innovation Equity Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Innovation Equity Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Managed Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Managed Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Managed Fund Distribution,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Managed Fund Distribution,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Decumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Decumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Distribution,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Multi Asset Income Fund Distribution,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Property Securities Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Property Securities Fund,Custom Page,custom,ilp-fund
